contact_id,email,jobtitle,old_seniority,new_seniority,rule,confidence
1001,alice@acme.io,CEO,,executive,exact: 'ceo' → executive,exact
1002,bob@techcorp.com,VP of Engineering,,vp,exact: 'vp of' → vp,exact
1003,carol@startup.dev,Senior Software Engineer,,senior,exact: 'senior' → senior,exact
1004,dave@bigfirm.com,Marketing Director,,director,exact: 'director' → director,exact
1005,eve@consulting.co,Founder,,executive,exact: 'founder' → executive,exact
1006,frank@enterprise.com,Chief Technology Officer,,executive,exact: 'chief technology' → executive,exact
1007,grace@smb.io,Product Manager,,manager,exact: 'manager' → manager,exact
1008,henry@scaleup.ai,Head of Data,,director,exact: 'head of' → director,exact
1009,ivy@nonprofit.org,Operations Lead,,manager,exact: 'lead' → manager,exact
1010,jack@finventures.com,Junior Analyst,,entry,exact: 'junior' → entry,exact
1012,leo@techcorp.com,Staff Engineer,,senior,exact: 'staff' → senior (staff-level),exact
